"category","subcategory","img","title","link","price"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/5327/catalog_list_5327.jpg","Томат Черрі 250гр","https://www.atbmarket.com/product/tomat-cerri-250gr","74.90"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/4650/catalog_list_4650.jpg","Морква 2 гат","https://www.atbmarket.com/product/morkva-2-gat","13.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/4620/catalog_list_4620.jpg","Капуста червонокачанна","https://www.atbmarket.com/product/kapusta-cervonokacanna-1gat","39.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/4545/catalog_list_4545.png","Морква фасована","https://www.atbmarket.com/product/morkva-fas-1kg","39.90"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/2049/catalog_list_2049.png","Картопля мита 1 гат","https://www.atbmarket.com/product/kartopla-mita-1-gat","42.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1941/catalog_list_1941.jpg","Морква мита 1 гат","https://www.atbmarket.com/product/morkva-mita-1-gat","29.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1923/catalog_list_1923.png","Корінь селери","https://www.atbmarket.com/product/korin-seleri-1-gat","59.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1919/catalog_list_1919.jpg","Картопля фасована в сітці","https://www.atbmarket.com/product/kartopla-sitka-1-gat","38.89"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1884/catalog_list_1884.jpg","Цибуля червона Марс","https://www.atbmarket.com/product/cibula-cervona-mars","22.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1876/catalog_list_1876.png","Перець солодкий червоний","https://www.atbmarket.com/product/perec-solodkij-cervonij-1-gat","159.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/1841/catalog_list_1841.png","Капуста Пекінська","https://www.atbmarket.com/product/kapusta-pekinska-1gat","59.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/10/catalog_list_10.jpg","Огірки тепличні","https://www.atbmarket.com/product/ogirki-teplicni-1gat","89.95"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/59153/catalog_list_59153.png","Морська капуста 250 г Своя лінія Маринована пл/уп","https://www.atbmarket.com/product/morska-kapusta-250-g-svoa-linia-marinovana-plup","31.90"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/52953/catalog_list_52953.jpg","Салат 400 г Своя Лінія традиційний п/відро","https://www.atbmarket.com/product/salat-400-g-svoa-linia-tradicijnij-pvidro","54.70"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/56037/catalog_list_56037.jpg","Буряк столовий варений 350г Своя лінія стерилізований вак/уп","https://www.atbmarket.com/product/burak-stolovij-varenij-350g-svoa-linia-sterilizovanij-vakup","46.50"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/1435/catalog_list_1435.jpg","Морква 350г Розумний вибір по-корейськи","https://www.atbmarket.com/product/morkva-350g-rozumnij-vibir-po-korejski","37.90"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/76201/catalog_list_76201.jpg","Салат 300 г Своя Лінія баклажани по-домашньому пл/ст","https://www.atbmarket.com/product/salat-300-g-svoa-linia-baklazani-po-domasnomu-plst","55.30"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/59163/catalog_list_59163.png","Салат 250 г Своя лінія з морських водоростей Чука пл/уп","https://www.atbmarket.com/product/salat-250g-svoa-linia-z-morskih-vodorostej-cuka-plup","75.90"
